순위,제목,가수,앨범
1,그때 그 순간 그대로 (그그그),WSG워너비 (가야G),WSG워너비 1집
2,보고싶었어,WSG워너비 (4FIRE),WSG워너비 1집
3,Attention,NewJeans,NewJeans 1st EP 'New Jeans'
4,LOVE DIVE,IVE (아이브),LOVE DIVE
5,SNEAKERS,ITZY (있지),CHECKMATE
6,POP!,나연 (TWICE),IM NAYEON
7,That That (prod. & feat. SUGA of BTS),싸이 (PSY),싸다9
8,사랑은 늘 도망가,임영웅,신사와 아가씨 OST Part.2
9,TOMBOY,(여자)아이들,I NEVER DIE
10,정이라고 하자 (Feat. 10CM),BIG Naughty (서동현),정이라고 하자
11,Hype boy,NewJeans,NewJeans 1st EP 'New Jeans'
12,우리들의 블루스,임영웅,IM HERO
13,그라데이션,10CM,5.3
14,나의 X에게,경서,나의 X에게
15,Girls,aespa,Girls - The 2nd Mini Album
16,사랑인가 봐,멜로망스,사랑인가 봐 (사내맞선 OST 스페셜 트랙)
17,FOREVER 1,소녀시대 (GIRLS' GENERATION),FOREVER 1 - The 7th Album
18,다시 만날 수 있을까,임영웅,IM HERO
19,Love story,볼빨간사춘기,Seoul
20,도깨비불 (Illusion),aespa,Girls - The 2nd Mini Album
21,무지개,임영웅,IM HERO
22,내가 아니라도,주호,내가 아니라도
23,FEARLESS,LE SSERAFIM (르세라핌),FEARLESS
24,LOVE me,BE'O (비오),LOVE me
25,이제 나만 믿어요,임영웅,내일은 미스터트롯 우승자 특전곡
26,눈을 감으면,WSG워너비,눈을 감으면
27,아버지,임영웅,IM HERO
28,손이 참 곱던 그대,임영웅,IM HERO
29,봄여름가을겨울 (Still Life),BIGBANG (빅뱅),봄여름가을겨울 (Still Life)
30,A bientot,임영웅,IM HERO
31,Clink Clink (클링 클링),WSG워너비 (오아시소),WSG워너비 1집
32,사랑해 진짜,임영웅,IM HERO
33,열이올라요 (Heart Burn),선미,열이올라요 (Heart Burn)
34,인생찬가,임영웅,IM HERO
35,취중고백,김민석 (멜로망스),취중고백
36,연애편지,임영웅,IM HERO
37,사랑역,임영웅,IM HERO
38,보금자리,임영웅,IM HERO
39,ELEVEN,IVE (아이브),ELEVEN
40,사랑해요 그대를,임영웅,IM HERO
41,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈),이석훈,바보에게 바보가 (웹툰 '연애의 발견' X 이석훈)
42,I LOVE U,WINNER,HOLIDAY
43,다정히 내 이름을 부르면,경서예지,다정히 내 이름을 부르면 (경서예지 x 전건호)
44,Left and Right (Feat. Jung Kook of BTS),Charlie Puth,Left and Right (Feat. Jung Kook of BTS)
45,신호등,이무진,신호등
46,Feel My Rhythm,Red Velvet (레드벨벳),‘The ReVe Festival 2022 - Feel My Rhythm’
47,Yet To Come,방탄소년단,Proof
48,아무래도 난,주시크 (Joosiq),아무래도 난
49,해요 (2022),#안녕,해요 (2022)
50,That's Hilarious,Charlie Puth,That's Hilarious
51,Dynamite,방탄소년단,Dynamite (DayTime Version)
52,Cookie,NewJeans,NewJeans 1st EP 'New Jeans'
53,STAY,The Kid LAROI,Stay
54,_WORLD,세븐틴,SEVENTEEN 4th Album Repackage ‘SECTOR 17'
55,I Ain't Worried,OneRepublic,탑건 : 매버릭 (Top Gun: Maverick) (영화 OST)
56,너의 모든 순간,성시경,별에서 온 그대 OST Part.7
57,MY BAG,(여자)아이들,I NEVER DIE
58,HOT,세븐틴,SEVENTEEN 4th Album 'Face the Sun'
59,사랑이야,케이시 (Kassy),사랑이야
60,새벽에 걸려온 너의 전화는,한동근,미련을 말하는
61,늦은 밤 헤어지긴 너무 아쉬워,케이시 (Kassy),LOVE & HATE
62,내 기쁨은 너가 벤틀리를 끄는 거야,김승민,PROTOTYPE RESEARCH #0063
63,듣고 싶을까,MSG워너비(M.O.M),듣고 싶을까
64,Sparkling,청하,Bare&Rare Pt.1
65,Butter,방탄소년단,Butter
66,GANADARA (Feat. 아이유),박재범,GANADARA
67,INVU,태연 (TAEYEON),INVU - The 3rd Album
68,BEAUTIFUL MONSTER,STAYC(스테이씨),WE NEED LOVE
69,Weekend,태연 (TAEYEON),Weekend
70,Bad Decisions,benny blanco,Bad Decisions
71,Permission to Dance,방탄소년단,Butter / Permission to Dance
72,Next Level,aespa,Next Level
73,팡파레,다비치,Season Note
74,너를 생각해,주시크 (Joosiq),너를 생각해
75,고백하는 취한밤에 (Prod. 2soo),임재현,고백하는 취한밤에
76,SMILEY (Feat. BIBI),YENA (최예나),ˣ‿ˣ (SMiLEY)
77,"회전목마 (Feat. Zion.T, 원슈타인) (Prod. Slom)",sokodomo,쇼미더머니 10 Episode 2
78,바라만 본다,MSG워너비(M.O.M),MSG워너비 1집
79,드라마,아이유,조각집
80,봄날,방탄소년단,YOU NEVER WALK ALONE
81,Somebody!,로꼬,Somebody
82,밤하늘의 별을(2020),경서,밤하늘의 별을(2020)
83,OHAYO MY NIGHT,디핵 (D-Hack),OHAYO MY NIGHT
84,내 손을 잡아,아이유,최고의 사랑 OST Part.4
85,언제나 사랑해,케이시 (Kassy),조영수 리메이크 프로젝트 Part.2
86,My Universe,Coldplay,My Universe
87,리무진 (Feat. MINO) (Prod. GRAY),BE'O (비오),쇼미더머니 10 Episode 3
88,그 하루(feat.반하나),주호,그 하루
89,사랑한다고 말해줘,탑현,사랑한다고 말해줘
90,미친 것처럼,V.O.S,아픔을 말하는
91,"모든 날, 모든 순간 (Every day, Every Moment)",폴킴,'키스 먼저 할까요?' OST Part.3
92,With you,지민,우리들의 블루스 OST Part 4
93,주마등,김호중,PANORAMA
94,Off My Face,Justin Bieber,Justice (The Complete Edition)
95,strawberry moon,아이유,strawberry moon
96,Celebrity,아이유,IU 5th Album 'LILAC'
97,빛이 나는 사람,김호중,빛이 나는 사람
98,약속 [約束],김호중,PANORAMA
99,롤린 (Rollin'),브레이브걸스,Rollin'
100,ZOOM,제시 (Jessi),ZOOM
